uid,country,gender,device,group,spent,converted
1000252,TUR,F,I,A,0,No
1000253,DEU,M,A,B,40.32,Yes
1000254,ESP,M,A,B,0,No
1000255,FRA,,A,B,0,No
1000256,USA,,I,B,0,No
1000257,GBR,F,A,B,0,No
1000258,CAN,F,I,A,0,No
1000259,BRA,M,A,A,0,No
1000260,USA,F,A,B,0,No
1000261,TUR,F,A,A,205.98,Yes
1000262,MEX,M,A,A,0,No
1000263,USA,M,A,B,0,No
1000264,BRA,F,A,A,0,No
1000265,USA,F,A,A,0,No
1000266,GBR,M,A,B,0,No
1000267,USA,M,I,B,0,No
1000268,BRA,F,A,A,0,No
1000269,USA,M,A,A,116.29,Yes
1000270,AUS,F,I,A,0,No
1000271,MEX,M,A,A,0,No
1000272,FRA,M,I,B,0,No
1000273,DEU,F,I,B,0,No
1000274,DEU,M,I,A,0,No
1000275,USA,M,I,A,0,No
1000276,BRA,M,I,A,0,No
1000277,BRA,F,A,A,0,No
1000278,DEU,,I,A,0,No
1000279,USA,M,A,A,0,No
1000280,MEX,F,A,A,0,No
1000281,USA,M,A,B,0,No
1000282,MEX,M,A,B,0,No
1000283,USA,M,I,B,0,No
1000284,BRA,,I,B,0,No
1000285,,F,I,A,0,No
1000286,USA,M,I,A,0,No
1000287,DEU,F,I,B,0,No
1000288,TUR,F,I,A,0,No
1000289,DEU,M,A,B,0,No
1000290,FRA,M,I,A,0,No
1000291,ESP,M,I,A,0,No
1000292,ESP,,A,A,0,No
1000294,MEX,F,A,B,0,No
1000295,USA,F,A,B,0,No
1000296,USA,M,A,A,0,No
1000297,BRA,,A,B,0,No
1000298,CAN,F,A,A,0,No
1000299,FRA,M,I,B,0,No
1000300,MEX,F,A,A,0,No
1000301,TUR,F,I,B,0,No
1000302,BRA,F,I,A,0,No
1000303,DEU,F,I,B,0,No
1000304,USA,M,A,A,0,No
1000305,USA,F,A,A,0,No
1000306,FRA,F,A,A,0,No
1000307,BRA,M,A,A,0,No
1000308,BRA,M,A,A,0,No
1000309,USA,F,I,B,0,No
1000310,BRA,F,A,B,0,No
1000311,BRA,F,I,A,0,No
1000312,MEX,F,I,B,0,No
1000313,MEX,F,I,B,0,No
1000315,BRA,F,A,A,0,No
1000316,USA,F,A,A,0,No
1000317,FRA,M,A,B,0,No
1000318,USA,M,A,B,0,No
1000319,AUS,F,A,A,0,No
1000320,USA,M,A,A,0,No
1000321,USA,F,A,A,0,No
1000322,CAN,,A,B,0,No
1000323,TUR,F,A,B,0,No
1000325,MEX,M,I,A,0,No
1000326,TUR,F,A,B,0,No
1000327,USA,M,A,A,0,No
1000328,MEX,F,A,B,0,No
1000329,USA,M,I,B,0,No
1000330,TUR,F,A,B,0,No
1000331,USA,M,I,A,0,No
1000332,USA,F,I,A,0,No
1000333,USA,M,A,A,0,No
1000334,FRA,F,I,A,0,No
1000335,USA,F,A,A,0,No
1000336,BRA,M,A,B,0,No
1000337,MEX,M,A,A,0,No
1000338,MEX,O,I,A,0,No
1000339,USA,F,A,A,0,No
1000340,USA,F,I,B,0,No
1000341,USA,,I,A,0,No
1000342,AUS,F,I,B,0,No
1000343,GBR,O,A,A,0,No
1000344,USA,F,I,A,0,No
1000345,GBR,M,A,A,0,No
1000346,MEX,F,I,A,0,No
1000347,AUS,O,A,A,0,No
1000348,BRA,M,A,B,0,No
1000349,BRA,M,A,B,0,No
1000350,USA,M,I,B,0,No
1000351,BRA,F,A,B,0,No
1000352,USA,F,A,A,0,No
1000353,MEX,,A,A,0,No
1000354,BRA,F,I,B,0,No
1000355,FRA,M,A,A,0,No
1000356,GBR,F,I,A,0,No
1000357,USA,F,I,A,0,No
1000358,,F,A,B,0,No
1000359,GBR,M,I,B,0,No
1000360,TUR,,I,B,0,No
1000361,BRA,F,I,B,0,No
1000362,FRA,M,A,A,0,No
1000363,ESP,M,A,A,0,No
1000364,TUR,F,A,A,0,No
1000365,FRA,F,A,B,0,No
1000366,TUR,,A,B,0,No
1000367,BRA,M,A,B,0,No
1000368,BRA,,A,A,0,No
1000369,BRA,O,I,A,0,No
1000370,BRA,M,A,B,0,No
1000371,USA,M,A,A,0,No
1000372,AUS,F,,B,0,No
1000373,FRA,F,A,A,0,No
1000374,ESP,F,A,A,0,No
1000375,USA,M,A,B,0,No
1000376,MEX,F,A,A,0,No
1000377,BRA,,A,B,0,No
1000378,USA,F,A,B,0,No
1000379,MEX,F,I,A,0,No
1000381,BRA,,A,B,0,No
1000382,DEU,M,I,A,0,No
1000383,ESP,,A,A,0,No
1000384,DEU,F,I,A,0,No
1000385,DEU,M,A,A,0,No
1000386,TUR,M,A,A,0,No
1000387,MEX,F,A,B,0,No
1000388,GBR,F,I,B,0,No
1000389,USA,M,A,B,0,No
1000391,BRA,,A,B,0,No
1000392,ESP,F,A,A,0,No
1000393,USA,F,A,A,0,No
1000394,ESP,F,I,A,0,No
1000395,USA,F,A,A,0,No
1000396,MEX,O,A,A,0,No
1000397,CAN,F,A,B,0,No
1000398,USA,F,A,B,0,No
1000399,DEU,M,I,A,0,No
1000401,USA,F,I,A,0,No
1000402,CAN,,I,A,0,No
1000403,AUS,O,A,A,0,No
1000404,MEX,M,A,A,0,No
1000405,USA,M,I,A,0,No
1000406,MEX,,A,A,0,No
1000407,TUR,,I,A,0,No
1000408,BRA,M,A,B,0,No
1000409,BRA,M,A,A,0,No
1000410,CAN,F,A,B,0,No
1000411,GBR,F,I,B,0,No
1000412,TUR,F,I,A,0,No
1000413,MEX,,A,B,0,No
1000414,BRA,M,A,B,0,No
1000415,DEU,,I,B,57.69,Yes
1000416,USA,M,A,A,0,No
1000417,DEU,F,A,B,45.06,Yes
1000418,USA,F,A,B,0,No
1000419,USA,F,I,A,0,No
1000420,USA,F,A,A,0,No
1000421,MEX,F,A,A,0,No
1000422,TUR,,I,A,0,No
1000423,USA,F,A,B,0,No
1000424,DEU,F,I,B,0,No
1000425,USA,F,A,B,0,No
1000426,MEX,F,I,A,0,No
1000428,USA,M,A,A,0,No
1000429,MEX,O,A,B,0,No
1000430,USA,M,I,A,0,No
1000431,DEU,F,A,B,0,No
1000432,USA,,A,A,0,No
1000433,,F,I,B,0,No
1000434,BRA,M,I,B,0,No
1000436,TUR,F,A,B,25.55,Yes
1000437,DEU,M,A,A,0,No
1000438,MEX,F,I,A,0,No
1000439,MEX,F,I,A,0,No
1000440,GBR,M,A,B,0,No
1000441,MEX,F,A,A,0,No
1000442,DEU,F,I,A,0,No
1000443,USA,M,A,A,0,No
1000445,AUS,F,A,B,0,No
1000446,FRA,F,A,A,0,No
1000447,USA,F,I,B,0,No
1000448,BRA,F,I,A,0,No
1000449,USA,,I,B,0,No
1000450,USA,M,I,B,0,No
1000451,BRA,F,I,A,0,No
1000452,BRA,,A,A,0,No
1000453,MEX,M,A,A,0,No
1000454,USA,M,I,B,39.09,Yes
1000455,USA,F,I,B,0,No
1000456,TUR,F,I,A,0,No
1000457,BRA,F,I,A,0,No
1000458,BRA,O,I,A,0,No
1000459,FRA,F,A,B,0,No
1000460,BRA,,A,B,0,No
1000461,BRA,,I,A,0,No
1000462,CAN,M,I,B,0,No
1000463,TUR,M,A,A,0,No
1000464,USA,M,A,A,0,No
1000465,BRA,M,A,A,0,No
1000466,USA,F,I,B,0,No
1000467,TUR,,A,B,0,No
1000468,AUS,F,I,B,0,No
1000469,GBR,,A,B,0,No
1000470,DEU,F,I,B,0,No
1000471,BRA,F,A,A,0,No
1000472,CAN,F,I,B,0,No
1000473,USA,M,A,A,0,No
1000474,GBR,M,A,B,0,No
1000475,BRA,,A,B,0,No
1000476,MEX,F,I,B,0,No
1000477,,F,A,B,0,No
1000478,FRA,F,I,A,0,No
1000479,USA,M,I,B,0,No
1000480,BRA,,A,A,0,No
1000481,BRA,F,A,A,0,No
1000482,TUR,M,A,B,0,No
1000483,USA,M,I,A,0,No
1000484,BRA,M,A,A,0,No
1000485,BRA,,I,A,0,No
1000486,DEU,M,A,B,0,No
1000487,MEX,M,I,A,0,No
1000488,FRA,F,A,B,0,No
1000489,MEX,F,I,A,0,No
1000490,USA,F,A,A,0,No
1000491,TUR,,I,B,0,No
1000492,BRA,F,A,A,0,No
1000493,USA,F,A,B,0,No
1000494,USA,F,I,A,0,No
1000495,FRA,M,I,A,0,No
1000496,MEX,M,A,A,0,No
1000497,USA,F,A,A,0,No
1000498,USA,F,I,A,0,No
1000499,MEX,F,I,B,0,No
1000500,MEX,O,A,B,0,No
1000501,USA,F,I,B,0,No
1000502,DEU,M,A,B,0,No
1000503,DEU,M,A,A,0,No
1000504,USA,F,I,A,0,No
1000505,MEX,M,,B,0,No
1000506,MEX,F,A,B,0,No
1000507,BRA,,A,B,0,No
1000508,GBR,F,I,A,0,No
1000509,USA,F,I,A,0,No
1000510,MEX,M,A,B,16.92,Yes
1000511,GBR,M,I,B,0,No
1000512,,M,I,B,0,No
1000513,USA,F,A,A,0,No
1000514,ESP,M,A,B,0,No
1000515,BRA,M,A,A,0,No
1000516,MEX,F,A,A,0,No
1000517,BRA,M,A,A,0,No
1000518,USA,F,A,B,0,No
1000519,MEX,F,I,B,0,No
1000520,MEX,M,A,B,0,No
1000521,USA,M,I,B,0,No
1000522,GBR,F,A,B,0,No
1000523,BRA,F,A,A,89.64,Yes
1000524,MEX,F,A,B,0,No
1000525,BRA,F,I,B,0,No
1000526,USA,F,,A,0,No
1000527,BRA,F,A,B,0,No
1000528,DEU,F,A,A,0,No
1000529,GBR,M,A,B,0,No
1000530,FRA,F,I,B,0,No
1000531,DEU,F,I,A,0,No
1000532,USA,M,I,A,0,No
1000533,USA,M,A,B,0,No
1000534,FRA,F,A,B,0,No
1000535,DEU,M,I,A,0,No
1000536,USA,M,A,A,0,No
1000537,BRA,M,I,A,0,No
1000538,FRA,M,I,A,0,No
1000539,BRA,F,I,A,0,No
1000540,BRA,F,A,A,0,No
1000541,BRA,F,A,B,0,No
1000542,MEX,M,A,A,0,No
1000543,USA,M,A,B,0,No
1000544,USA,M,A,A,0,No
1000545,USA,M,A,B,0,No
1000546,FRA,F,A,A,61.12,Yes
1000547,USA,M,A,A,0,No
1000548,USA,F,I,A,0,No
1000549,TUR,M,I,B,0,No
1000550,GBR,M,I,B,0,No
1000551,FRA,F,A,A,0,No
1000552,USA,F,I,B,0,No
1000553,USA,M,A,A,0,No
1000554,USA,M,I,B,0,No
1000555,USA,F,I,B,0,No
1000556,TUR,M,A,B,0,No
1000557,TUR,F,A,A,0,No
1000558,BRA,,I,A,0,No
1000559,DEU,M,I,B,0,No
1000560,USA,F,I,B,0,No
1000561,USA,F,A,B,0,No
1000562,ESP,M,I,A,0,No
1000563,BRA,,A,A,0,No
1000564,USA,F,A,A,0,No
1000565,DEU,F,I,A,0,No
1000566,USA,F,I,A,0,No
1000567,GBR,F,A,B,0,No
1000568,AUS,M,I,A,0,No
1000569,GBR,M,A,A,0,No
1000570,MEX,M,A,A,0,No
1000571,USA,F,A,A,0,No
1000572,TUR,,I,B,0,No
1000573,BRA,F,I,A,0,No
1000574,USA,,A,A,0,No
1000575,USA,M,I,B,0,No
1000576,TUR,M,A,B,0,No
1000577,BRA,F,A,B,0,No
1000578,BRA,,A,B,0,No
1000579,BRA,M,A,B,117.79,Yes
1000580,USA,F,A,A,0,No
1000581,TUR,,I,A,0,No
1000583,USA,M,A,B,0,No
1000584,USA,M,I,A,0,No
1000585,USA,F,A,A,0,No
1000586,DEU,O,I,A,0,No
1000587,USA,F,A,A,0,No
1000588,DEU,M,A,A,0,No
1000589,USA,,A,A,0,No
1000590,DEU,M,A,A,0,No
1000591,USA,F,A,B,0,No
1000592,CAN,,A,B,0,No
1000593,MEX,M,A,B,0,No
1000594,BRA,F,A,B,0,No
1000595,DEU,,A,B,0,No
1000596,GBR,M,A,B,0,No
1000597,BRA,F,A,B,0,No
1000598,BRA,O,I,B,0,No
1000599,DEU,M,I,A,0,No
1000600,MEX,M,I,B,0,No
1000601,USA,F,A,A,10.79,Yes
1000602,USA,,I,B,0,No
1000603,USA,,A,B,0,No
1000604,TUR,F,A,A,0,No
1000606,USA,F,I,A,0,No
1000607,USA,,A,A,0,No
1000608,GBR,M,I,A,0,No
1000609,MEX,M,I,B,0,No
1000610,DEU,M,I,B,0,No
1000611,TUR,M,I,B,0,No
1000612,MEX,M,A,B,0,No
1000613,GBR,M,A,A,0,No
1000614,BRA,M,I,A,0,No
1000615,GBR,F,I,A,0,No
1000616,USA,M,I,A,0,No
1000617,DEU,M,I,A,0,No
1000618,BRA,,A,B,0,No
1000619,USA,F,A,A,0,No
1000620,USA,M,A,B,0,No
1000621,TUR,M,I,A,0,No
1000622,DEU,M,A,B,0,No
1000623,USA,F,A,A,61.29,Yes
1000624,GBR,F,A,B,0,No
1000625,MEX,O,I,A,0,No
1000626,USA,,A,A,0,No
1000627,BRA,F,A,B,0,No
1000628,TUR,,I,B,0,No
1000629,BRA,,A,A,0,No
1000630,GBR,M,I,A,0,No
1000631,BRA,M,I,B,0,No
1000632,GBR,M,A,B,0,No
1000633,DEU,F,A,A,0,No
1000634,MEX,M,I,B,0,No
1000635,ESP,F,I,B,69.21,Yes
1000636,FRA,M,I,A,0,No
1000637,USA,F,A,B,0,No
1000638,CAN,M,I,A,0,No
1000639,FRA,F,I,B,0,No
1000640,DEU,F,A,B,0,No
1000641,USA,F,A,B,0,No
1000642,BRA,F,A,B,0,No
1000643,CAN,F,I,A,0,No
1000644,USA,M,I,A,0,No
1000645,GBR,M,A,B,0,No
1000646,BRA,M,I,A,0,No
1000647,TUR,M,A,B,0,No
1000648,USA,,I,B,0,No
1000649,CAN,M,A,B,0,No
1000650,BRA,F,A,B,0,No
1000651,USA,M,I,A,0,No
1000652,USA,M,I,B,0,No
1000653,USA,M,I,A,61.84,Yes
1000654,ESP,F,I,A,0,No
1000655,DEU,F,I,A,0,No
1000656,BRA,F,A,A,0,No
1000657,MEX,M,A,A,0,No
1000658,AUS,F,A,A,0,No
1000659,BRA,M,A,A,0,No
1000660,USA,F,A,A,0,No
1000661,USA,F,A,A,0,No
1000662,USA,F,A,A,0,No
1000663,USA,F,I,A,0,No
1000664,BRA,O,A,B,0,No
1000665,USA,F,A,B,0,No
1000666,MEX,M,A,B,0,No
1000668,USA,F,I,A,0,No
1000669,BRA,M,I,A,176.83,Yes
1000670,USA,F,A,A,0,No
1000671,USA,M,A,A,0,No
1000672,CAN,M,I,B,0,No
1000673,USA,F,A,B,0,No
1000674,FRA,F,A,A,0,No
1000675,USA,M,A,B,68.34,Yes
1000676,MEX,M,A,B,0,No
1000677,GBR,F,A,B,0,No
1000678,USA,F,I,B,0,No
1000680,USA,M,A,B,0,No
1000681,DEU,M,A,B,0,No
1000682,USA,M,I,B,0,No
1000683,BRA,O,I,B,0,No
1000684,,M,I,A,0,No
1000685,BRA,F,A,B,0,No
1000686,GBR,F,A,A,0,No
1000687,USA,F,A,A,0,No
1000688,MEX,F,A,B,0,No
1000689,MEX,M,A,B,0,No
1000690,GBR,,A,A,0,No
1000691,,F,I,B,0,No
1000692,BRA,F,A,B,0,No
1000693,BRA,,A,B,0,No
1000694,BRA,F,I,B,0,No
1000695,USA,M,A,A,0,No
1000696,BRA,O,I,B,0,No
1000697,BRA,F,A,B,0,No
1000698,MEX,M,A,B,0,No
1000699,USA,M,I,B,0,No
1000700,BRA,F,A,B,0,No
1000701,BRA,M,A,A,0,No
1000702,MEX,F,I,B,0,No
1000703,AUS,,A,A,0,No
1000705,USA,F,A,B,0,No
1000706,BRA,F,A,B,0,No
1000707,BRA,M,I,A,0,No
1000708,USA,F,A,B,0,No
1000709,FRA,,A,B,0,No
1000711,,M,A,B,0,No
1000712,DEU,F,I,A,0,No
1000714,DEU,F,A,A,0,No
1000715,BRA,F,A,B,0,No
1000716,DEU,F,I,A,0,No
1000717,MEX,M,I,B,0,No
1000718,FRA,F,A,B,0,No
1000719,USA,M,A,B,0,No
1000720,BRA,M,A,A,0,No
1000721,AUS,M,A,A,0,No
1000722,BRA,,A,A,0,No
1000723,CAN,F,I,A,0,No
1000724,TUR,F,I,B,0,No
1000725,MEX,M,A,B,0,No
1000726,MEX,F,A,A,0,No
1000727,BRA,M,A,B,0,No
1000728,USA,F,I,A,0,No
1000729,CAN,,I,A,0,No
1000730,USA,F,A,A,0,No
1000731,USA,F,A,B,0,No
1000732,GBR,F,A,B,0,No
1000733,USA,M,I,A,0,No
1000734,BRA,M,A,A,0,No
1000735,FRA,M,A,B,0,No
1000736,BRA,M,I,A,0,No
1000737,MEX,M,A,A,0,No
1000738,DEU,,I,A,0,No
1000739,GBR,M,I,B,0,No
1000740,USA,M,I,B,0,No
1000741,MEX,F,I,A,0,No
1000742,BRA,M,I,B,0,No
1000743,BRA,M,I,A,0,No
1000744,MEX,F,I,A,0,No
1000745,FRA,,I,B,0,No
1000746,ESP,M,I,A,0,No
1000747,ESP,M,I,A,0,No
1000748,BRA,M,I,A,0,No
1000749,GBR,M,I,B,0,No
1000750,USA,F,A,A,0,No
1000751,BRA,F,A,A,0,No
1000752,USA,F,A,B,0,No
1000753,FRA,M,I,A,0,No
1000754,USA,F,A,B,0,No
1000755,USA,M,A,A,0,No
1000756,FRA,M,I,B,0,No
1000757,TUR,,A,A,0,No
1000758,TUR,F,A,B,0,No
1000759,USA,F,I,A,0,No
1000760,GBR,M,A,A,0,No
1000761,BRA,F,I,A,0,No
1000762,BRA,M,I,B,0,No
1000763,BRA,M,A,A,0,No
1000764,BRA,F,A,A,0,No
1000765,BRA,M,A,A,0,No
1000766,BRA,,A,A,0,No
1000767,BRA,F,I,B,0,No
1000768,BRA,M,A,A,0,No
1000769,FRA,M,A,A,0,No
1000770,BRA,F,A,A,0,No
1000771,USA,F,A,B,0,No
1000772,GBR,,I,A,0,No
1000773,USA,O,A,A,0,No
1000774,GBR,M,A,B,0,No
1000775,BRA,M,A,B,0,No
1000777,MEX,F,I,A,0,No
1000778,USA,,A,B,0,No
1000779,FRA,M,A,A,0,No
1000780,DEU,F,A,A,0,No
1000781,DEU,M,I,B,0,No
1000782,TUR,F,A,A,0,No
1000783,CAN,M,I,A,0,No
1000784,USA,O,A,A,0,No
1000785,BRA,M,A,B,0,No
1000786,BRA,M,A,A,0,No
1000787,BRA,F,A,A,0,No
1000788,BRA,M,A,A,0,No
1000789,ESP,M,A,A,0,No
1000790,BRA,M,I,A,0,No
1000791,GBR,,A,B,0,No
1000792,USA,M,A,B,0,No
1000793,MEX,F,A,B,0,No
1000794,AUS,F,I,A,0,No
1000795,USA,F,I,B,0,No
1000796,USA,,I,B,0,No
1000797,USA,M,A,A,0,No
1000798,BRA,F,A,A,0,No
1000799,MEX,M,A,A,0,No
1000800,TUR,F,A,A,0,No
1000801,BRA,,A,A,0,No
1000802,DEU,,A,B,0,No
1000803,USA,F,A,A,0,No
1000804,DEU,M,I,A,0,No
1000805,FRA,M,A,A,0,No
1000806,TUR,F,A,B,0,No
1000807,USA,M,A,B,0,No
1000808,,F,A,B,0,No
1000809,CAN,F,A,A,0,No
1000810,USA,F,A,A,0,No
1000811,BRA,F,I,A,0,No
1000812,AUS,M,A,B,0,No
1000813,BRA,M,I,A,0,No
